TIME1,FT101,PI101,PI102,PT101,TT101,LV101,PV101A,PV101B,FV101
12500,19338.57417,0.475675364,1.588450609,0.50586882,41.08866543,44.69719846,0.171881365,0,44.77710001
12501,19360.53655,0.476889497,1.59568146,0.509179505,41.12114286,44.77822063,0,0.683239492,44.78288587
12502,19371.13012,0.47843921,1.595597831,0.511570763,41.11743551,44.86105205,0,1.462077415,44.80618383
12503,19374.73339,0.480167208,1.592583405,0.511789977,41.18588779,44.94521728,0,2.05179342,44.84043566
12504,19482.00153,0.481613499,1.609144978,0.512045862,40.77149404,45.03319934,0,2.164865399,44.70195854
12505,19563.93881,0.482695206,1.616426559,0.515261832,40.87967978,45.12144838,0,2.287412241,44.5987668
12506,19663.4638,0.48420701,1.625522758,0.512373047,41.01878087,45.20951968,0,3.078865744,44.46106513
12507,19768.20379,0.484816191,1.636545396,0.515240042,41.16584823,45.30314412,0,2.511384768,44.30831611
12508,19789.5635,0.485844413,1.6325082,0.512128971,41.14964278,45.39737673,0,3.225943926,44.28760851
12509,19723.7008,0.48612308,1.617807797,0.514532822,41.26630926,45.49324981,0,2.608217629,44.41067198
12510,19592.94163,0.486928418,1.599179022,0.513324709,41.48778466,45.59109781,0,3.216995512,44.64593839
12511,19475.74164,0.487410708,1.588041199,0.51371773,41.21606565,45.68666433,0,3.024496522,44.8670109
12512,19354.39942,0.487875469,1.576176257,0.512769657,41.24406985,45.77883407,0,3.186408515,45.1024769
12513,19301.60221,0.48807836,1.574577412,0.509919574,41.10994021,45.86826062,0,3.048065695,45.23164988
12514,19364.2671,0.487618052,1.588665784,0.510539958,41.04699594,45.95785913,0,2.475605108,45.17207297
12515,19457.38233,0.487245986,1.599798872,0.509048305,41.57957563,46.04675662,0,2.670059294,45.05781613
12516,19567.0046,0.486608463,1.609490133,0.506961898,41.47529578,46.13779182,0,2.391661302,44.9101322
12517,19549.68497,0.485658875,1.597072758,0.505840761,41.41143886,46.23397159,0,1.970942263,44.96666378
12518,19582.92266,0.484806497,1.600449441,0.506783921,41.46713582,46.33210388,0,1.756416326,44.94017642
12519,19560.81759,0.484261492,1.595947554,0.506230967,41.39415998,46.43148621,0,2.001223086,45.00365221
12520,19453.96068,0.483752103,1.577804168,0.503825887,41.18242008,46.52614912,0,1.913843409,45.20956978
12521,19315.51326,0.482978295,1.560271173,0.504475219,40.79367388,46.62300108,0,1.405768167,45.47489279
12522,19186.78253,0.482543648,1.547849643,0.503411941,40.80563786,46.71859348,0,1.573235007,45.73290788
12523,19120.85677,0.481989785,1.545120448,0.505052547,40.88416105,46.80983147,0,1.358079501,45.89465427
12524,19036.03623,0.481823538,1.535275548,0.50543165,40.65379008,46.8988276,0,1.746801944,46.09206082
12525,18962.0373,0.481803847,1.526202213,0.505517652,41.09200891,46.98738825,0,1.860078669,46.27688872
12526,18944.30992,0.481820792,1.526332543,0.503416659,41.18019205,47.07776204,0,1.909346148,46.3728167
12527,18999.40873,0.481360164,1.535032914,0.503002245,41.04534042,47.16655884,0,1.465919172,46.34869644
12528,19051.46764,0.48082647,1.538313741,0.502633228,40.9529179,47.25451482,0,1.391260629,46.32610825
12529,19095.14188,0.480324287,1.53901978,0.499733771,41.2294763,47.3443066,0,1.324559508,46.31414039
12530,19087.78811,0.479351962,1.532889019,0.496977729,41.12614239,47.43713004,0,0.685214787,46.38428797
12531,19133.245,0.478073629,1.538227206,0.493353531,41.08887036,47.52990417,0,0.062263032,46.36702928
12532,19068.60894,0.476264489,1.525019875,0.491309115,40.80725113,47.62215343,0.771616221,0,46.530056
12533,19037.98186,0.474520935,1.52079456,0.491492488,40.84169221,47.71216586,1.269187519,0,46.64062849
12534,19049.47133,0.473146328,1.52464716,0.489834361,40.89340846,47.804216,1.275636791,0,46.68307917
12535,18991.60041,0.471654203,1.514106905,0.489152509,41.27733058,47.8916084,1.696335798,0,46.84021021
12536,18846.29419,0.470408631,1.492471741,0.490489578,41.33901069,47.97916144,1.906004447,0,47.14653735
12537,18694.81922,0.469803599,1.476041609,0.491468242,41.13632906,48.06863596,1.664156468,0,47.47242886
12538,18642.15537,0.469545699,1.476443769,0.491364765,41.22826189,48.15448908,1.495775139,0,47.64359308
12539,18626.28085,0.469221577,1.477231942,0.49257017,40.82384188,48.23503441,1.566033759,0,47.75691034
12540,18750.69242,0.469168457,1.494607873,0.493050088,40.83868394,48.31369657,1.341708896,0,47.63780751
12541,18859.42569,0.469071533,1.502710871,0.493666521,40.64641359,48.39543067,1.274351323,0,47.53683104
12542,18906.9355,0.469111052,1.499417859,0.495935039,40.72158624,48.47798292,1.173570292,0,47.53077147
12543,19008.87062,0.46966549,1.50884948,0.499472016,40.5319044,48.56594568,0.69685351,0,47.43110756
12544,19104.97327,0.470739238,1.517107963,0.505853353,40.9999071,48.6539851,0,0.078377468,47.33462502
12545,19293.0795,0.472847683,1.538777056,0.506846402,41.23582603,48.73921381,0,1.514465027,47.07889797
12546,19454.21876,0.474609442,1.552556692,0.503701199,40.84670408,48.82733286,0,1.770591154,46.85600516
12547,19580.98146,0.475377379,1.560161601,0.502539254,41.07984968,48.91648179,0,1.099002896,46.68000203
12548,19671.19893,0.475779478,1.565387899,0.503840916,41.47255753,49.01038837,0,0.857341091,46.55669734
12549,19765.48345,0.476373201,1.574524696,0.500371727,41.44222992,49.10487187,0,1.164831725,46.42085116
12550,19851.71734,0.476124319,1.583136984,0.501363851,41.23570141,49.19868218,0,0.403654666,46.29236702
12551,19908.9558,0.47610686,1.587138439,0.500527352,41.34095564,49.29200633,0,0.629423018,46.20661233
12552,19857.32286,0.475941545,1.57489883,0.502151661,41.32569585,49.38646075,0,0.448293751,46.29835636
12553,19817.61346,0.476250255,1.570737412,0.504405643,41.55118543,49.48154479,0,0.817475769,46.37356415
12554,19756.93261,0.476942249,1.565180963,0.50364647,41.46796616,49.57602645,0,1.337582842,46.48620982
12555,19608.02081,0.477360306,1.545143155,0.504664629,41.06877318,49.66597967,0,1.190620445,46.74955536
12556,19451.69957,0.478019356,1.528420512,0.503787644,41.12452732,49.75591597,0,1.44027086,47.03476058
12557,19311.43879,0.478411272,1.516455834,0.503832047,41.36775425,49.84498028,0,1.268166156,47.30324573
